#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
34,Noah Vonleh,POR,27,14.9,1.2,2.9,0.418,0.1,0.4,0.25,0.5,0.6,0.812,0.7,1.9,1.2,2.4,3.6,0.4,0.2,0.3,3,0.21
35,Charlie Villanueva,DAL,23,11.6,2.4,5.8,0.421,0.8,3,0.271,0.3,0.3,0.857,0.6,1.3,0.4,2.3,2.7,0.3,0.2,0.3,6,0.51
36,Rashad Vaughn,MIL,19,8.4,0.7,2.6,0.286,0.4,1.3,0.32,0.2,0.2,1,0.4,0.8,0.2,0.9,1.1,0.3,0.4,0.2,2.1,0.32
37,Greivis Vasquez,MIL,16,22.6,2.4,6.9,0.342,0.8,3.3,0.245,1.4,1.6,0.88,1.9,2.1,0.2,2.1,2.3,4.4,0.4,0,6.9,0.34
38,Anderson Varejao,CLE,21,8.5,0.9,2,0.439,0,0,0,0.5,0.6,0.769,0.4,0.8,0.7,1.8,2.5,0.4,0.2,0.1,2.2,0.26
39,Jonas Valanciunas,TOR,14,27.3,4.9,8.9,0.556,0,0,0,2.9,3.7,0.769,1.6,2.6,3,6.3,9.3,0.4,0.3,0.7,12.7,0.38
40,Beno Udrih,MIA,18,12.2,1.8,3.8,0.464,0.3,0.8,0.357,0.4,0.5,0.889,1.1,1.1,0.2,1,1.2,2,0.3,0.1,4.3,0.33
41,Myles Turner,IND,8,15.8,2.6,4.8,0.553,0,0,0,0.9,1.2,0.7,0.8,2,0.6,2.2,2.9,0.1,0.4,0.9,6.1,0.34
42,Evan Turner,BOS,26,26.6,3.8,9.2,0.414,0.2,1.4,0.135,1.5,1.9,0.816,1.9,1.5,0.7,4,4.7,3.7,1.1,0.4,9.3,0.38
43,P.J. Tucker,PHX,27,26.7,2.2,5.4,0.401,0.6,2.1,0.268,0.8,1.1,0.724,1.3,2.3,1.7,3.4,5.1,1.2,1,0.2,5.7,0.22
44,Karl-Anthony Towns,MIN,25,28,6.4,12,0.535,0.4,0.8,0.429,2.3,2.7,0.838,2,3.2,2.4,6.6,9.1,1,0.7,2.1,15.4,0.47
